country,n_rows,date_min,date_max,n_columns,n_missing_cols,missing_cols,missing_vals
Oceania,1681,2020-01-05,2024-08-11,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 1, 6, 8, 1,  ,  ,  ,  , 7,  ,  ,  ,  , 7,  ,  ,  , 1, 2,  ,  ,  ,  , 7, ]"
Oman,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Pakistan,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 1, ]"
Palau,1674,2020-01-05,2024-08-04,67,48,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Palestine,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 5, ]"
Panama,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Papua New Guinea,1674,2020-01-05,2024-08-04,67,45,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Paraguay,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 1, ]"
Peru,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 3, ]"
Philippines,1674,2020-01-05,2024-08-04,67,43,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Pitcairn,1674,2020-01-05,2024-08-04,67,54,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Poland,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 0, ]"
Portugal,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 9, ]"
Puerto Rico,1674,2020-01-05,2024-08-04,67,46,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Qatar,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 7, ]"
Reunion,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Romania,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 0, ]"
Russia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 3, ]"
Rwanda,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 1, ]"
Saint Barthelemy,1674,2020-01-05,2024-08-04,67,54,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Saint Helena,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Saint Kitts and Nevis,1674,2020-01-05,2024-08-04,67,48,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 1, 0, 5, ]"
Saint Lucia,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 8, 8, 5, ]"
Saint Martin (French part),1674,2020-01-05,2024-08-04,67,52,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Saint Pierre and Miquelon,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Saint Vincent and the Grenadines,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 9, 2, 7, ]"
Samoa,1674,2020-01-05,2024-08-04,67,45,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
San Marino,1674,2020-01-05,2024-08-04,67,49,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 3, ]"
Sao Tome and Principe,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 2, ]"
Saudi Arabia,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 0, ]"
Scotland,1305,2020-03-07,2023-10-02,67,62,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 3, 0, 5,  , 1, 3, 0, 5,  , 1, 3, 0, 5,  , 1, 3, 0, 5,  , 1, 3, 0, 5, ]"
Senegal,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Serbia,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 5, ]"
Seychelles,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 6, 8, ]"
Sierra Leone,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_per_million","[, 5,  , 1,  , 6,  , 5,  , 1, ]"
Singapore,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 3, 6, ]"
Sint Maarten (Dutch part),1674,2020-01-05,2024-08-04,67,53,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Slovakia,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 5, ]"
Slovenia,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 9, ]"
Solomon Islands,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 3, 2, 9, ]"
Somalia,1674,2020-01-05,2024-08-04,67,45,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 4, ]"
South Africa,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 4, ]"
South America,1674,2020-01-05,2024-08-04,67,55,"continent, new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million","[, 1, 6, 7, 4,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5, ]"
South Korea,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 2, 7, ]"
South Sudan,1674,2020-01-05,2024-08-04,67,46,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 5, ]"
Spain,1674,2020-01-05,2024-08-04,67,45,"new_cases, new_cases_smoothed, new_deaths, new_deaths_smoothed, new_cases_per_million","[, 3, 9, 2,  , 3, 9, 7,  , 3, 9, 2,  , 3, 9, 7,  , 3, 9, 2, ]"
Sri Lanka,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 0, ]"
Sudan,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 8, ]"
Suriname,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 3, 4, ]"
Sweden,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 2, ]"
Switzerland,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 4, 1, ]"
Syria,1674,2020-01-05,2024-08-04,67,47,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 2, 2, ]"
Taiwan,1348,2020-01-16,2023-09-24,67,58,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 3, 4, 8,  , 1, 3, 4, 8,  , 1, 3, 4, 8,  , 1, 3, 4, 8,  , 1, 3, 4, 8, ]"
Tajikistan,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 1, ]"
Tanzania,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 8, 4, ]"
Thailand,1675,2020-01-04,2024-08-04,67,48,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1,  , 2,  , 7,  , 1,  , 2, ]"
Togo,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 9, 6, ]"
Tokelau,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Tonga,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 3, 5, 1, ]"
Trinidad and Tobago,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 7, 1, ]"
Tunisia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 0, ]"
Turkey,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 5, ]"
Turkmenistan,1674,2020-01-05,2024-08-04,67,43,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Turks and Caicos Islands,1674,2020-01-05,2024-08-04,67,52,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Tuvalu,1674,2020-01-05,2024-08-04,67,49,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 1, 6, ]"
Uganda,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 0, 3, ]"
Ukraine,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 1, ]"
United Arab Emirates,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 4, ]"
United Kingdom,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 3, 8, ]"
United States,1674,2020-01-05,2024-08-04,67,43,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 4, 4, 2,  , 4, 4, 7,  ,  ,  , 5,  , 4, 4, 2,  , 4, 4, 7, ]"
United States Virgin Islands,1674,2020-01-05,2024-08-04,67,49,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
Upper-middle-income countries,3013,2020-01-05,2024-08-14,67,63,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 3, 0, 1, 3,  , 1, 3, 3, 9,  , 1, 3, 3, 9,  , 1, 3, 4, 4,  , 1, 3, 3, 9, ]"
Uruguay,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 6, ]"
Uzbekistan,1674,2020-01-05,2024-08-04,67,42,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 4, ]"
Vanuatu,1674,2020-01-05,2024-08-04,67,41,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 3, 7, 6, ]"
Vatican,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Venezuela,1674,2020-01-05,2024-08-04,67,44,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 6, 2, ]"
Vietnam,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 5, 8, ]"
Wales,1198,2020-04-01,2023-07-12,67,58,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1, 1, 9, 8,  , 1, 1, 9, 8,  , 1, 1, 9, 8,  , 1, 1, 9, 8,  , 1, 1, 9, 8, ]"
Wallis and Futuna,1674,2020-01-05,2024-08-04,67,53,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  ,  ,  ,  , 5,  , 1, 6, 7, 4, ]"
Western Sahara,1,2022-04-20,2022-04-20,67,56,"total_cases, new_cases, new_cases_smoothed, total_deaths, new_deaths","[, 1,  , 1,  , 1,  , 1,  , 1, ]"
World,1684,2020-01-05,2024-08-14,67,49,"continent, total_cases, new_cases, new_cases_smoothed, total_deaths","[, 1, 6, 8, 4,  ,  ,  , 1, 0,  ,  ,  , 1, 0,  ,  ,  , 1, 5,  ,  ,  , 1, 0, ]"
Yemen,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 7, 1, 2, ]"
Zambia,1674,2020-01-05,2024-08-04,67,40,"new_cases_smoothed, new_deaths_smoothed, new_cases_smoothed_per_million, new_deaths_smoothed_per_million, reproduction_rate","[,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  ,  ,  , 5,  , 6, 9, 7, ]"
Zimbabwe,1674,2020-01-05,2024-08-04,67,42,"new_cases, new_cases_smoothed, new_deaths_smoothed, new_cases_per_million, new_cases_smoothed_per_million","[, 1,  , 6,  , 5,  , 1,  , 6, ]"
